,A.0_ID flood wave shape,A.1_Bmax,A.1_Brate,A.1_pfail,A.2_Bmax,A.2_Brate,A.2_pfail,A.3_Bmax,A.3_Brate,A.3_pfail,A.4_Bmax,A.4_Brate,A.4_pfail,A.5_Bmax,A.5_Brate,A.5_pfail,discount rate 0,discount rate 1,discount rate 2,0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,scenario,policy,model
0,17,261.3044951238519,1.0,0.5543280173161056,302.44037727068894,1.5,0.2332465178486259,134.96767826404687,1.5,0.08496279562800435,108.33015498360896,10.0,0.7815961439877741,213.66321669917193,1.0,0.9992530284256457,2.5,1.5,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Policy 0,dikesnet
1,2,278.32451398630843,1.5,0.1993118378578886,127.68997299297276,1.0,0.43049864499591495,153.2015968657459,1.0,0.6884957702904566,340.4094381661629,1.5,0.4239027792855995,107.59801816012794,1.0,0.2624729942344464,4.5,4.5,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Policy 0,dikesnet
2,125,326.9168028425019,1.5,0.5558603925529483,327.2669543024025,1.5,0.8331720634002721,195.89533219710177,1.5,0.040841291489125284,116.66752647812874,1.0,0.7219029188625314,121.28175828328283,1.0,0.6539845048039487,4.5,1.5,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,Policy 0,dikesnet
3,128,63.307188405497435,1.5,0.6673205437954325,86.29301552713693,1.5,0.25305099484714333,125.54060327393873,10.0,0.13501401839093743,259.8588550473143,1.0,0.09200246352287171,183.96301624720294,10.0,0.3352093735261605,2.5,1.5,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,Policy 0,dikesnet
4,99,174.66801297174808,1.0,0.30694422362565066,101.2647952545408,1.5,0.9891067586693437,317.3217082913876,1.0,0.22837411542200628,59.167757463220056,1.0,0.3790824241133836,104.73814255959508,1.0,0.7856908773494867,3.5,3.5,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,Policy 0,dikesnet
5,101,95.68831600467196,1.5,0.22648918556803557,51.326558147896726,1.0,0.5398092698217383,261.9886910840807,1.0,0.4622348454231108,340.67550820283395,10.0,0.0027487956272258967,94.02853175996589,10.0,0.5989256149512151,4.5,2.5,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,Policy 0,dikesnet
6,42,108.7019292839324,1.5,0.3542905617046463,185.028141034958,10.0,0.459969526810465,270.8661838041662,1.0,0.7801897766127841,243.00340407222947,1.0,0.5303847693699087,84.33992271216606,1.0,0.736607138849889,2.5,1.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,Policy 0,dikesnet
7,108,55.71246091837391,1.0,0.9060809756692823,241.15740770009992,10.0,0.7801770001354361,294.68379770514184,10.0,0.23684455950453664,210.13783801362382,1.0,0.7260285006477154,227.95553613370282,1.5,0.7334274868150203,2.5,1.5,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,Policy 0,dikesnet
8,28,211.95025998000816,1.5,0.5701241018911518,347.37571569232796,1.5,0.444935729001464,237.21711553823408,1.0,0.6974960340046646,313.2198563451453,10.0,0.330163443967673,128.97233375499331,1.0,0.017857830484608525,4.5,4.5,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,Policy 0,dikesnet
9,113,82.91550346113256,10.0,0.05847982656184019,236.7741154407145,1.0,0.7467547570548605,223.3284901403643,10.0,0.5149324889092877,330.1100935946323,10.0,0.24760658817345557,85.8238155511714,10.0,0.12999812238413183,2.5,4.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,Policy 0,dikesnet
10,66,30.00760909027085,1.5,0.13345889654284748,44.38621706732828,1.0,0.4327042603861655,59.514989141187364,10.0,0.6141803462627884,300.19330147887706,1.0,0.16937898495764506,165.69421294978756,1.5,0.8703076726336488,3.5,1.5,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,Policy 0,dikesnet
11,16,144.95739505291255,10.0,0.7596719520184624,265.59017892299175,1.0,0.06643569785452617,99.56453493313876,1.5,0.12375623327407785,53.60585707541536,1.0,0.7903089273727046,88.34111556734777,1.0,0.1985289922741478,4.5,2.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,Policy 0,dikesnet
12,73,333.9794566106234,1.0,0.4332997992468351,58.39045161920089,10.0,0.9865500881525647,87.3603264757451,1.0,0.8492113050667868,218.57755383081368,10.0,0.21378414832841908,178.19421871649732,1.5,0.6250687084900044,1.5,3.5,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,Policy 0,dikesnet
13,49,182.01451034179607,1.0,0.15295259769687503,100.50825596418754,1.0,0.5833199709014613,296.47953018298625,10.0,0.5506663768009424,44.351789883175336,1.5,0.9033931914727474,89.6196238526058,1.5,0.6256830471752983,3.5,2.5,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,Policy 0,dikesnet
14,106,37.79175038814029,10.0,0.27687869334502235,346.25389588724335,1.5,0.8900435637070615,107.29590423963099,10.0,0.9610761562519846,72.21191586192109,1.0,0.73452921293961,306.30849786362273,1.0,0.3284274118282918,1.5,1.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,Policy 0,dikesnet
15,104,263.1595345483081,10.0,0.7852613368261974,263.0310672784803,1.5,0.030761989241341568,102.3100049808725,1.5,0.7602874692819782,328.9313905046638,1.0,0.5310585102350398,68.42976046621514,1.5,0.4497434809152966,3.5,3.5,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,Policy 0,dikesnet
16,80,253.66574254621472,10.0,0.6446001133936548,242.0297507977885,10.0,0.4032837471948762,53.389995417254084,10.0,0.23075373652525583,176.67900359420616,10.0,0.8122730504096,131.86670255962377,1.5,0.8941840211177665,1.5,2.5,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,Policy 0,dikesnet
17,2,113.5124357803706,1.5,0.6433966692652439,148.47880812926815,10.0,0.48869904405839437,249.9166035489289,1.0,0.12288374999658269,140.67950559405114,1.5,0.2956991763235383,47.9465838203741,10.0,0.06946072038078409,4.5,3.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,Policy 0,dikesnet
18,81,120.44970822661092,1.0,0.5334293984181857,97.75168835669321,1.5,0.8315305131791015,199.5448511384569,10.0,0.9524881746352699,309.57449459172426,1.0,0.11684043872651789,327.68403721082325,1.5,0.36601450652253537,1.5,2.5,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,Policy 0,dikesnet
19,72,239.49651428436997,10.0,0.9810073653737534,310.6282801504855,1.5,0.6824680034004715,72.47414762145695,1.5,0.3851991092408043,328.4268216526559,1.0,0.5845064604340028,137.53221097695615,1.0,0.8338221429620188,4.5,4.5,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,Policy 0,dikesnet
20,15,238.8119256992617,10.0,0.560986652113092,105.86818457880484,10.0,0.14045952479091053,100.76911715861596,1.5,0.5341407847491367,190.70295184029376,10.0,0.374427012397236,298.0820945565252,1.5,0.8357115238322486,3.5,1.5,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,Policy 0,dikesnet
21,57,40.6949300908982,10.0,0.2520475295464376,212.32785519921833,10.0,0.15372455727912337,329.0231500997387,10.0,0.6673714589932066,278.6589344461444,1.0,0.9436222982464572,195.944977165745,1.0,0.7969978097686111,4.5,1.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,Policy 0,dikesnet
22,121,304.4738701726097,1.5,0.1108137148853922,31.298670061927226,1.5,0.9254481429301876,81.51274203538223,10.0,0.3879998769936477,110.11062626168436,1.0,0.5977713533575102,302.83853878123773,10.0,0.22662621081193626,1.5,2.5,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,Policy 0,dikesnet
23,79,169.58420969697326,1.0,0.29892897603128255,128.21688426813648,1.5,0.5087696705793392,43.300669549009555,1.0,0.41830606675247534,232.06899621782577,10.0,0.6797843871252034,306.90870040186485,10.0,0.6574188740873228,2.5,1.5,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,Policy 0,dikesnet
24,0,107.82883648880467,10.0,0.8844332927833928,340.08348528089255,1.0,0.6193655627473116,40.940835775260396,1.0,0.893552361125411,189.56452539640125,1.0,0.36642880536719136,292.1216620797224,10.0,0.9882318512889655,2.5,1.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,Policy 0,dikesnet
25,95,285.98392343451115,1.5,0.018887768585026735,85.63988885743845,1.0,0.11308012403398267,110.02995162695606,1.5,0.2078451050579677,39.557962148331015,1.5,0.6169054540720345,235.39897020993206,1.0,0.2644094911000537,4.5,3.5,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,Policy 0,dikesnet
26,30,200.7710849926946,1.0,0.5126515338825715,134.56415636233308,1.5,0.6392840462224364,204.45918775033536,1.0,0.7141880583458966,270.8319777878741,1.0,0.8565641118449714,289.054245939397,1.5,0.13976384882503762,2.5,2.5,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,Policy 0,dikesnet
