,Unnamed: 0,A.5_Expected Number of Deaths,A.5_Expected Annual Damage,Expected Evacuation Costs,Expected Annual Damage,Total Investment Costs,Expected Number of Deaths
42000,42000,0.0,0.0,0.0,2888775171.65109,178303379.54230642,1.790783075522918
42001,42001,0.0,0.0,0.0,2360179859.007236,178303379.54230642,1.5365756491435896
42002,42002,0.0,0.0,0.0,215200076.00945905,178303379.54230642,0.1779504570040352
42003,42003,0.0,0.0,0.0,2020426718.2444963,178303379.54230642,1.7082457205387809
42004,42004,0.0,0.0,0.0,2534504593.5131617,178303379.54230642,1.764217436566685
42005,42005,0.0301818847475861,32686334.042202536,0.0,2574100646.960566,178303379.54230642,1.800436286859424
42006,42006,0.0,0.0,0.0,46394632.49339162,178303379.54230642,0.0277026278323858
42007,42007,0.0,0.0,0.0,84126416.85682955,178303379.54230642,0.0714172445847256
42008,42008,0.0,0.0,0.0,3554416702.091144,178303379.54230642,2.4197508410473003
42009,42009,0.0,0.0,0.0,801743627.9466947,178303379.54230642,0.6298902164496972
42010,42010,0.1780365656914489,245859604.86157465,0.0,309310980.47727907,178303379.54230642,0.2191765603696351
42011,42011,0.0,0.0,0.0,648963563.7432457,178303379.54230642,0.887798238866664
42012,42012,0.0,0.0,0.0,3256603341.874423,178303379.54230642,1.8608104287927696
42013,42013,0.0,0.0,0.0,2731317080.21884,178303379.54230642,1.7716950961663307
42014,42014,0.0932933003268093,109641376.14504711,0.0,120242420.37495454,178303379.54230642,0.0995042380671982
42015,42015,0.0,0.0,0.0,35076415.779952966,178303379.54230642,0.0334805465152999
42016,42016,0.0404399244153264,43364834.72111664,0.0,393691522.27971447,178303379.54230642,0.3602031877512379
42017,42017,0.1755806630901089,182015186.261984,0.0,278196136.0457032,178303379.54230642,0.268566943314945
42018,42018,0.0,0.0,0.0,74390934.0458318,178303379.54230642,0.0371162223089291
42019,42019,0.0069699220145962,7755537.132538434,0.0,2670569338.716335,178303379.54230642,1.7677762773940453
42020,42020,0.0,0.0,0.0,35194139.967325784,178303379.54230642,0.0460138022140581
42021,42021,0.0,0.0,0.0,95868108.87898944,178303379.54230642,0.0759552714773203
42022,42022,0.0,0.0,0.0,50044924.61069585,178303379.54230642,0.038065768688847
42023,42023,0.0,0.0,0.0,3190180927.579833,178303379.54230642,2.0259448725942746
42024,42024,0.0,0.0,0.0,3495914311.775945,178303379.54230642,2.02243313542289
42025,42025,0.0,0.0,0.0,132201142.99104424,178303379.54230642,0.0899026486594397
42026,42026,0.0074704088232681,9031877.451291446,0.0,60441775.31600808,178303379.54230642,0.039382594187898
42027,42027,0.0,0.0,0.0,253457942.5888918,178303379.54230642,0.1184250215110897
42028,42028,0.0,0.0,0.0,564915914.7002779,178303379.54230642,0.57600823414291
42029,42029,0.0,0.0,0.0,744330500.4966984,178303379.54230642,0.7842889425313792
42030,42030,0.0,0.0,0.0,3077736208.251016,178303379.54230642,1.790120228677155
42031,42031,0.0,0.0,0.0,191081067.33461237,178303379.54230642,0.2212292711066659
