,A.1 Total Costs,A.1_Expected Number of Deaths,A.2 Total Costs,A.2_Expected Number of Deaths,A.3 Total Costs,A.3_Expected Number of Deaths,A.4 Total Costs,A.4_Expected Number of Deaths,A.5 Total Costs,A.5_Expected Number of Deaths,RfR Total Costs,Expected Evacuation Costs,Expected Number of Deaths
0,147370753.4096704,0.09815664070794443,301814865.0251907,0.25663449341091343,2255603596.454309,3.5309282499845924,0.0,0.0,0.0,0.0,0.0,0.0,3.8857193841034503
1,2024651752.5649347,1.9728403489186528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9728403489186528
2,125442559.23676597,0.09950674104885453,9104021.80646172,0.009810706586145211,1932336250.705849,3.630754015192751,0.0,0.0,0.0,0.0,0.0,0.0,3.7400714628277507
3,38675229.96777068,0.027667422735786838,288865944.20538694,0.2581619320319949,2160316281.7929373,3.554464638856503,4826294.318358259,0.0018091971722721599,0.0,0.0,0.0,0.0,3.842103190796557
4,2464834335.1153092,1.9681460290884223,0.0,0.0,223288569.86251965,0.4597965346801747,0.0,0.0,0.0,0.0,0.0,0.0,2.427942563768597
5,2723749495.1215396,1.95685358024402,8968052.203335453,0.009174278354892186,45278782.8167549,0.08806351178254922,104028390.52763057,0.03801314054854313,0.0,0.0,0.0,0.0,2.0921045109300045
6,2514393326.5616536,1.3496095528175203,12080958.288666055,0.00907242448075122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3586819772982714
7,0.0,0.0,11161263.656140853,0.010412957953895286,1150325069.6067955,1.8566110898203174,0.0,0.0,0.0,0.0,0.0,0.0,1.8670240477742126
8,85817590.43000397,0.08455541155948962,64224983.519336626,0.08327260911878445,0.0,0.0,35304765.55632268,0.02236546431708739,881726362.4803689,1.0274228646984869,0.0,0.0,1.2176163496938484
9,2991340679.413125,1.926527752084993,0.0,0.0,19381486.78332755,0.034223298684055894,24137825.08569184,0.010778177288468645,112614215.28742032,0.09675474858758253,0.0,0.0,2.0682839766451
10,2753598138.1323314,1.898964589561905,50303247.317820385,0.04946056588862398,18357190.67343047,0.03529817048275234,56845928.48445263,0.02694882994928179,0.0,0.0,0.0,0.0,2.0106721558825633
11,39573992.84157157,0.028415806704349678,1052486737.7122829,0.8847358737470524,2047217691.5330653,3.2702967079511653,0.0,0.0,0.0,0.0,0.0,0.0,4.183448388402567
12,506792966.45775163,0.36912948713951865,0.0,0.0,0.0,0.0,54584904.08088586,0.025683530885641695,0.0,0.0,0.0,0.0,0.39481301802516033
13,2465793998.571373,1.9086851732409769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9086851732409769
14,4003575902.4160495,1.9624352448442601,13780328.73137955,0.010052811609207686,26428468.790928807,0.036332339150512885,4128438.613060393,0.0017463668507043451,212425918.48030257,0.1437394286305742,0.0,0.0,2.1543061910852592
15,0.0,0.0,802363763.0071762,0.886244228568756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.886244228568756
16,37939429.28014166,0.027054734500957644,89913305.30982962,0.08293180494095734,1094476599.2292943,1.8489788132053842,0.0,0.0,0.0,0.0,0.0,0.0,1.9589653526472992
17,36959654.4719355,0.02851711767273306,84530984.15580963,0.08454615723321146,2035619637.3168406,3.6204091819964415,0.0,0.0,19871563.89953114,0.017593624047083534,0.0,0.0,3.7510660809494696
18,205284004.99497205,0.12825342101047385,11569370.616473168,0.009875757105702572,0.0,0.0,159004986.23764437,0.06218050321375112,0.0,0.0,0.0,0.0,0.20030968132992755
19,0.0,0.0,19592671.114153117,0.026441466916482644,252286926.56345326,0.6182186819503489,0.0,0.0,0.0,0.0,0.0,0.0,0.6446601488668315
20,147740814.85418385,0.09845048994837997,570112885.8219378,0.4717576952781602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5702081852265402
21,3288411000.6769485,1.9235212561669908,302718647.86097443,0.2401126287022409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1636338848692316
22,3386509746.0736446,1.9581518008387717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9581518008387717
23,3344441892.050081,1.9275527626516444,0.0,0.0,20769083.95774839,0.03199215390360249,0.0,0.0,0.0,0.0,0.0,0.0,1.959544916555247
24,0.0,0.0,52042556.30981573,0.04046336376061998,0.0,0.0,65679805.694675,0.02508070247842325,0.0,0.0,0.0,0.0,0.06554406623904323
25,2130319217.4810386,1.9242357863872872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9242357863872872
