,A.0_ID flood wave shape,A.1_Bmax,A.1_Brate,A.1_pfail,A.2_Bmax,A.2_Brate,A.2_pfail,A.3_Bmax,A.3_Brate,A.3_pfail,A.4_Bmax,A.4_Brate,A.4_pfail,A.5_Bmax,A.5_Brate,A.5_pfail,discount rate 0,discount rate 1,discount rate 2,0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,scenario,policy,model
0,63,160.75489587640058,1.0,0.4017091222059252,129.16911488045804,1.5,0.8394485981648727,190.90320893872098,1.0,0.8828481304853175,310.8328205152018,10.0,0.9846917545319835,58.4406858621829,10.0,0.07484766076847629,4.5,2.5,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2500,Policy 0,dikesnet
1,24,230.50440805927127,1.5,0.37919249220847095,281.73933755940175,1.0,0.3341708454067144,54.01961280651946,10.0,0.08097900400224264,208.80578533266032,1.5,0.7714552753957997,98.59580659947662,1.0,0.16936511159573467,1.5,2.5,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2501,Policy 0,dikesnet
2,22,53.54001806536328,1.5,0.3229069263981026,225.78608182976492,1.5,0.35395997855728834,130.31155240124383,1.0,0.711927604314198,90.59968267114188,10.0,0.6109512754720037,209.5712588410352,1.5,0.3248751219961807,2.5,1.5,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2502,Policy 0,dikesnet
3,28,244.0577153549111,10.0,0.03883967079093833,226.01312711664107,1.0,0.22233047183389515,204.46090129775624,10.0,0.35201667387658037,244.88751981577852,10.0,0.062399932776926355,139.0100308808917,1.5,0.12116152820216504,3.5,2.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2503,Policy 0,dikesnet
4,37,254.75375509450447,1.5,0.875234566828888,36.949601856862486,1.5,0.4242852760506895,144.19257075395765,1.0,0.10761471210666504,72.00004196269543,1.0,0.9745972458139499,131.58004766951422,1.5,0.7460058011915027,4.5,2.5,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2504,Policy 0,dikesnet
5,24,154.59171121228323,1.5,0.4283725819279414,93.60414961744931,1.0,0.2090964314802334,343.89634634037685,1.5,0.7055356830417172,156.333116296057,1.5,0.8204460568583585,261.98035771543954,1.5,0.8606653622112397,3.5,4.5,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2505,Policy 0,dikesnet
6,5,128.78256649982288,1.0,0.29593553657012545,261.523230465059,1.0,0.5614608200037349,209.0279970087671,1.0,0.0949588500828758,144.3739862087875,1.5,0.805959119817174,242.30396826678765,1.5,0.49702062477778497,1.5,2.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2506,Policy 0,dikesnet
7,46,344.12928510383654,1.0,0.5508055760300844,248.3221498332643,1.0,0.8784541786302127,182.9516135333251,10.0,0.085904663330103,255.22006529619802,10.0,0.392604382611642,287.17914850456043,1.0,0.5569426167365685,4.5,4.5,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2507,Policy 0,dikesnet
8,128,223.19981673930243,10.0,0.6721722480511593,303.8874476723381,1.0,0.28966636745668867,72.63245057397484,10.0,0.4128851146022015,84.69049067930769,1.5,0.6171144363515514,42.98554575913099,1.5,0.36747301276532096,2.5,3.5,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2508,Policy 0,dikesnet
9,76,286.3345105245023,1.0,0.7314483339028776,79.45354080569899,1.0,0.2313708537506078,203.55883155174067,10.0,0.008673101871444166,153.62042500704862,1.5,0.9264409404267784,272.0787597010412,1.0,0.37016208950099483,3.5,4.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2509,Policy 0,dikesnet
10,91,345.52434447761885,1.0,0.926478016431508,249.42877559213312,1.5,0.7670053500020898,58.18448373224719,1.0,0.4062358394094591,187.24402219551496,1.0,0.9553244347962098,254.6840253783392,1.0,0.35579911910643663,4.5,2.5,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2510,Policy 0,dikesnet
11,85,293.9243996412534,1.0,0.5099236003718006,203.90219831285194,1.0,0.000789738340623995,56.78116667781943,1.0,0.9058330160397339,273.28773359026263,1.5,0.9525900859740507,162.2000047875505,1.5,0.7177474948999978,1.5,3.5,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2511,Policy 0,dikesnet
12,96,56.25780100255295,1.0,0.44815900754296306,166.1723610054419,1.5,0.1293715888777813,264.02451617824795,1.0,0.4034201495241265,309.0544194219277,1.5,0.3388540914070108,336.6162620931091,10.0,0.08410571629233257,1.5,1.5,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2512,Policy 0,dikesnet
13,59,323.7493429150919,1.5,0.5809677218750692,257.40865258128287,1.5,0.12331103190833483,102.80084177984223,1.0,0.9601874484182579,84.05702793984631,1.0,0.7301869636720487,269.8173424412984,10.0,0.7516970641624946,3.5,1.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2513,Policy 0,dikesnet
14,2,102.08835864458854,1.0,0.9061726384252716,101.20815051429757,10.0,0.46141470787704775,341.16274346252555,10.0,0.5696356153252078,301.52662196762276,10.0,0.2508427352249646,153.5106397333403,10.0,0.47364163632986767,4.5,3.5,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2514,Policy 0,dikesnet
15,61,245.71165631494927,1.5,0.6515484534434295,94.09744930477132,1.0,0.9837601477520976,321.2043931327437,10.0,0.3298768398144734,125.83805985682733,1.0,0.16577122180842363,317.46646480693687,1.5,0.7856173030121267,3.5,1.5,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2515,Policy 0,dikesnet
16,113,203.20311993709612,1.0,0.03592711014849998,35.21041487270376,10.0,0.6241358559965239,125.36686673610319,1.0,0.024048679952207608,273.0825463379324,1.5,0.2713759694788875,34.88020898836154,1.0,0.660282294776147,3.5,4.5,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2516,Policy 0,dikesnet
17,53,188.4409283380354,10.0,0.16597618855098636,214.92415996254775,1.0,0.9073871624050954,53.46589420080172,1.5,0.5552137575364943,147.34162573244845,10.0,0.6419182025397537,324.7152343903485,1.5,0.9632473160145649,1.5,3.5,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2517,Policy 0,dikesnet
18,7,246.89680645249382,1.0,0.44212537508584393,90.73524682815582,1.5,0.30747883786818003,258.1257397428803,1.5,0.5112230755221165,349.81840737872096,1.0,0.9181858533934688,208.4013281950163,1.5,0.08630690586571281,1.5,1.5,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2518,Policy 0,dikesnet
