,A.1 Total Costs,A.1_Expected Number of Deaths,A.2 Total Costs,A.2_Expected Number of Deaths,A.3 Total Costs,A.3_Expected Number of Deaths,A.4 Total Costs,A.4_Expected Number of Deaths,A.5 Total Costs,A.5_Expected Number of Deaths,RfR Total Costs,Expected Evacuation Costs,Total Expected Deaths
0,903894495.8399665,0.6705687036516796,0.0,0.0,0.0,0.0,0.0,0.0,568828304.09034,0.5404862538240834,0.0,0.0,1.211054957475763
1,1415348210.8315322,0.9387113343924804,0.0,0.0,1844401044.8249595,3.0311988914996695,0.0,0.0,0.0,0.0,0.0,0.0,3.96991022589215
2,2747477599.076372,1.697564769811695,73943179.53173324,0.0639659678844515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7615307376961464
3,2779669145.145385,1.7225323225551172,0.0,0.0,0.0,0.0,3902146.62399379,0.0014388706244545615,0.0,0.0,0.0,0.0,1.7239711931795718
4,0.0,0.0,90393522.34176669,0.1068280160454753,1478304165.275515,3.1492837158029605,0.0,0.0,0.0,0.0,0.0,0.0,3.256111731848436
5,534434295.06229293,0.47401291575749877,255835377.29623884,0.2937607487095203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.767773664467019
6,3191190706.6292233,1.6971423452085785,0.0,0.0,2017753011.2022555,2.676355243954189,0.0,0.0,0.0,0.0,0.0,0.0,4.373497589162767
7,103294379.29805377,0.10845014746906692,0.0,0.0,1239864353.6336768,3.0886376285693666,0.0,0.0,0.0,0.0,0.0,0.0,3.1970877760384337
8,30881147.564936265,0.026462601661254297,171114252.15676278,0.18640360897740033,153926992.50979725,0.3210893485346291,0.0,0.0,0.0,0.0,0.0,0.0,0.5339555591732837
9,16411373.71955347,0.012672966097981398,271474979.35814136,0.2608024669477792,1737328023.3913245,3.0853092005000553,0.0,0.0,0.0,0.0,0.0,0.0,3.358784633545816
10,0.0,0.0,25478107.604140036,0.029582319685256934,297053784.3155892,0.6265564889110515,0.0,0.0,105281073.62977782,0.11244417886336543,0.0,0.0,0.7685829874596739
11,150013015.27014294,0.10645049250780068,882050423.9197044,0.7559093239286335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8623598164364342
12,673288021.8713373,0.3754762614699776,831231991.2539166,0.5866910569070969,0.0,0.0,0.0,0.0,39540361.60367602,0.027082230926507588,0.0,0.0,0.9892495493035821
13,119478069.88832644,0.07327027770333855,785760545.1716828,0.5892438897711089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6625141674744475
14,0.0,0.0,76777873.23731072,0.09382119191656557,31533049.431258447,0.07270478810466594,52239149.08202249,0.03085838742098959,0.0,0.0,0.0,0.0,0.1973843674422211
15,54530083.81196262,0.041428716240829846,0.0,0.0,535253629.2956645,0.993551172256182,72323464.68632117,0.033759254690407664,0.0,0.0,0.0,0.0,1.0687391431874196
16,2165976654.877969,1.68806155951762,0.0,0.0,1331552778.0547886,2.543727995282613,0.0,0.0,0.0,0.0,0.0,0.0,4.231789554800233
17,2574892557.831439,1.704204259984663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.704204259984663
18,756859681.2821767,0.4209680852847264,227153134.751665,0.16566950427527352,11312025.95087115,0.016229393083713326,0.0,0.0,811863375.1693165,0.5731306609694288,0.0,0.0,1.175997643613142
19,2190225614.8195577,1.7118097775090417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7118097775090417
20,0.0,0.0,558680322.2978809,0.5757759647449204,1512791323.7987018,2.9743170728749067,6955573.077937225,0.0034244442895487405,0.0,0.0,0.0,0.0,3.5535174819093758
21,2912864302.964104,1.6865050217961768,0.0,0.0,0.0,0.0,0.0,0.0,25434728.517009027,0.019840033952040106,0.0,0.0,1.706345055748217
22,2506961817.778019,1.7175078127457502,771832535.7912647,0.6493139037070191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3668217164527694
23,2774097332.9612737,1.718210027155755,882063938.47062,0.6823803093477598,540983343.6634893,0.8158951732991904,0.0,0.0,0.0,0.0,0.0,0.0,3.2164855098027054
24,77297285.59623729,0.05587559784254845,202887872.83281484,0.1877723282669953,0.0,0.0,0.0,0.0,469592972.3795473,0.41452726974447396,0.0,0.0,0.6581751958540177
25,1391285841.0133653,1.2758864398757241,0.0,0.0,29147692.596233997,0.0709131722207271,0.0,0.0,0.0,0.0,0.0,0.0,1.3467996120964512
26,3017552481.361965,1.7020317147429158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7020317147429158
27,2440682358.45337,1.6986487068235199,4081211.0624888726,0.004012588500632681,0.0,0.0,9924649.91502829,0.004820805725012418,6363801.210520878,0.006014984201108562,0.0,0.0,1.7134970852502733
28,0.0,0.0,27599775.733960435,0.02959658029301488,82668407.34309301,0.1652096093036551,157475817.00330576,0.07392732046241193,0.0,0.0,0.0,0.0,0.2687335100590819
29,115254535.45634946,0.07021031830340992,266894183.7862996,0.2079524167734627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2781627350768726
30,3022553095.567631,1.7055698247588122,0.0,0.0,243907852.88181746,0.35185142650073664,0.0,0.0,76609220.93554631,0.05417751820406857,0.0,0.0,2.1115987694636176
31,2433664444.837042,1.6925183568318642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6925183568318642
32,0.0,0.0,3639399.188895869,0.004743088022507917,308714673.50961536,0.7086090682767593,58276637.21594123,0.033901202534778165,371420990.08115494,0.4175299564852226,0.0,0.0,1.164783315319268
33,2343081194.369014,1.726222304371908,0.0,0.0,0.0,0.0,27101410.07709647,0.013681855018836807,0.0,0.0,0.0,0.0,1.739904159390745
34,0.0,0.0,26663938.162675373,0.02893881865958803,974377552.9757206,1.8743109727966343,0.0,0.0,0.0,0.0,0.0,0.0,1.9032497914562223
35,14972482.54215567,0.013009455711976852,715858301.3321536,0.7359216960354549,0.0,0.0,10269934.339275096,0.004824340655660481,0.0,0.0,0.0,0.0,0.7537554924030923
36,2863334718.2423134,1.682452823797023,0.0,0.0,58159491.24445687,0.08969151486880705,0.0,0.0,0.0,0.0,0.0,0.0,1.7721443386658302
37,113864031.72185992,0.07154632546448558,52879296.76224458,0.044503543639174935,1542377824.9734874,2.3171728683554553,0.0,0.0,0.0,0.0,0.0,0.0,2.4332227374591158
38,21473032.920501556,0.012672966097981398,93337572.08648139,0.07158848294377271,233675437.4509899,0.33591784290436966,1475771.846629929,0.0006214109916355532,387133559.3179363,0.2787050720919525,0.0,0.0,0.6995057750297118
39,1271286651.8070803,0.7568999735663786,157812223.03410533,0.12655159678704578,130732753.06747115,0.2011212360196367,0.0,0.0,941252341.8713012,0.7114022076888477,0.0,0.0,1.7959750140619088
40,0.0,0.0,26786672.9363556,0.028981012001483317,0.0,0.0,3014776.8144236743,0.0018221147790148118,181087896.23163345,0.18300913228668475,0.0,0.0,0.21381225906718287
41,163084899.77669394,0.10845014746906692,0.0,0.0,9114485.563879617,0.01553545601011493,0.0,0.0,0.0,0.0,0.0,0.0,0.12398560347918185
42,14855821.772351716,0.012892474867697266,8780101.651950946,0.010351485710079412,76723057.43953139,0.1667195818399848,2929552.6321667116,0.0019196722976188231,10556630.380517788,0.011574147359336283,0.0,0.0,0.2034573620747166
43,0.0,0.0,13403242.833266534,0.016711003523262366,23199236.034840237,0.05389959408590568,13568776.436025376,0.009089615249811358,56523655.421325296,0.06554674111337822,0.0,0.0,0.14524695397235762
44,3228622824.3748875,1.7221327091489356,0.0,0.0,733607582.1950811,0.9745322368919098,0.0,0.0,0.0,0.0,0.0,0.0,2.6966649460408454
45,2219612096.9367676,1.3038591218508317,315002479.6591612,0.24090408642649241,2034972977.1056762,2.9721398820640528,0.0,0.0,0.0,0.0,0.0,0.0,4.516903090341377
46,2948598207.9616704,1.7125088127914345,0.0,0.0,0.0,0.0,8069772.008907916,0.002943599957012717,0.0,0.0,0.0,0.0,1.7154524127484472
47,0.0,0.0,135566719.06155336,0.13280635973682198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13280635973682198
