,Expected Annual Damage,Expected Number of Deaths,A.5_Expected Number of Deaths,A.5_Expected Annual Damage,Expected Evacuation Costs
0,1656765.6128579716,0.0001840609406353262,0.0,0.0,78.83439370922885
1,2198336.1037433823,0.00022237296579083175,0.0,0.0,109.70681481403486
2,1656765.6128579716,0.0001840609406353262,0.0,0.0,78.83439370922885
3,55595167.49820542,0.0070885270633143475,0.0,0.0,2453.22045924002
4,1656765.6128579716,0.0001840609406353262,0.0,0.0,78.83439370922885
5,3444718.8875808557,0.00030787047902590056,0.0,0.0,182.02715750599685
6,1656765.6128579716,0.0001840609406353262,0.0,0.0,78.83439370922885
7,55843944.04411231,0.007108001963882323,0.0,0.0,2466.319528631287
8,55913870.978453904,0.007121144853512473,0.0,0.0,2468.61791511551
9,3467626.8328342754,0.000310609692891525,0.0,0.0,182.7849241921666
10,55913870.978453904,0.007121144853512473,0.0,0.0,2468.61791511551
11,55662031.49615356,0.0071012743452380815,0.0,0.0,2455.4450314801234
12,55913870.978453904,0.007121144853512473,0.0,0.0,2468.61791511551
13,55913870.978453904,0.007121144853512473,0.0,0.0,2468.61791511551
14,0.0,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0,0.0
20,533770.9548724288,7.199421592813058e-05,7.199421592813058e-05,533770.9548724288,26.1186346522235
21,533770.9548724288,7.199421592813058e-05,7.199421592813058e-05,533770.9548724288,26.1186346522235
22,0.0,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,0.0
25,0.0,0.0,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,0.0
27,0.0,0.0,0.0,0.0,0.0
28,9238188.24389499,0.0012610494197119898,0.0,0.0,394.64769388008807
29,9267786.039831657,0.0012691021616558834,0.0,0.0,395.53651143750625
30,9238188.24389499,0.0012610494197119898,0.0,0.0,394.64769388008807
31,0.0,0.0,0.0,0.0,0.0
32,9238188.24389499,0.0012610494197119898,0.0,0.0,394.64769388008807
33,9238188.24389499,0.0012610494197119898,0.0,0.0,394.64769388008807
34,9238188.24389499,0.0012610494197119898,0.0,0.0,394.64769388008807
35,0.0,0.0,0.0,0.0,0.0
36,0.0,0.0,0.0,0.0,0.0
37,9267786.039831657,0.0012691021616558834,0.0,0.0,395.53651143750625
38,0.0,0.0,0.0,0.0,0.0
39,0.0,0.0,0.0,0.0,0.0
40,0.0,0.0,0.0,0.0,0.0
41,0.0,0.0,0.0,0.0,0.0
42,0.0,0.0,0.0,0.0,0.0
43,0.0,0.0,0.0,0.0,0.0
44,0.0,0.0,0.0,0.0,0.0
45,0.0,0.0,0.0,0.0,0.0
46,0.0,0.0,0.0,0.0,0.0
47,0.0,0.0,0.0,0.0,0.0
48,0.0,0.0,0.0,0.0,0.0
49,0.0,0.0,0.0,0.0,0.0
50,225482.36271499656,3.187102027614517e-05,0.0,0.0,9.53022678289768
51,0.0,0.0,0.0,0.0,0.0
52,225482.36271499656,3.187102027614517e-05,0.0,0.0,9.53022678289768
53,225482.36271499656,3.187102027614517e-05,0.0,0.0,9.53022678289768
54,225482.36271499656,3.187102027614517e-05,0.0,0.0,9.53022678289768
55,225482.36271499656,3.187102027614517e-05,0.0,0.0,9.53022678289768
56,66156.41071375585,5.364934260225157e-06,0.0,0.0,3.378986138033087
57,0.0,0.0,0.0,0.0,0.0
58,66156.41071375585,5.364934260225157e-06,0.0,0.0,3.378986138033087
59,66156.41071375585,5.364934260225157e-06,0.0,0.0,3.378986138033087
60,66156.41071375585,5.364934260225157e-06,0.0,0.0,3.378986138033087
61,0.0,0.0,0.0,0.0,0.0
62,66156.41071375585,5.364934260225157e-06,0.0,0.0,3.378986138033087
63,0.0,0.0,0.0,0.0,0.0
64,0.0,0.0,0.0,0.0,0.0
65,0.0,0.0,0.0,0.0,0.0
66,0.0,0.0,0.0,0.0,0.0
67,0.0,0.0,0.0,0.0,0.0
68,0.0,0.0,0.0,0.0,0.0
69,0.0,0.0,0.0,0.0,0.0
70,2820071.0267135575,0.00039356817871081645,0.0,0.0,119.66449762694205
71,2820071.0267135575,0.00039356817871081645,0.0,0.0,119.66449762694205
72,2820071.0267135575,0.00039356817871081645,0.0,0.0,119.66449762694205
73,4982145.432993196,0.0006875417856045876,0.0,0.0,212.1349155847932
74,2820071.0267135575,0.00039356817871081645,0.0,0.0,119.66449762694205
75,2820071.0267135575,0.00039356817871081645,0.0,0.0,119.66449762694205
76,2820071.0267135575,0.00039356817871081645,0.0,0.0,119.66449762694205
77,4982145.432993196,0.0006875417856045876,0.0,0.0,212.1349155847932
78,4982145.432993196,0.0006875417856045876,0.0,0.0,212.1349155847932
79,2820071.0267135575,0.00039356817871081645,0.0,0.0,119.66449762694205
80,4982145.432993196,0.0006875417856045876,0.0,0.0,212.1349155847932
81,4982145.432993196,0.0006875417856045876,0.0,0.0,212.1349155847932
82,4982145.432993196,0.0006875417856045876,0.0,0.0,212.1349155847932
83,4982145.432993196,0.0006875417856045876,0.0,0.0,212.1349155847932
84,6175733.129301181,0.0008278448769192075,0.0008278448769192075,6175733.129301181,303.7698315705102
85,456186.4771544896,6.0856780994425884e-05,6.0856780994425884e-05,456186.4771544896,22.529185770820114
86,6175733.129301181,0.0008278448769192075,0.0008278448769192075,6175733.129301181,303.7698315705102
87,9221139.332568899,0.0012564108823145735,0.0,0.0,394.13571752367557
88,6175733.129301181,0.0008278448769192075,0.0008278448769192075,6175733.129301181,303.7698315705102
89,6237405.740844516,0.0008326306853740034,0.0008278448769192075,6175733.129301181,307.0407618418738
90,0.0,0.0,0.0,0.0,0.0
91,9221139.332568899,0.0012564108823145735,0.0,0.0,394.13571752367557
92,2768773.964517001,0.0003796116663666992,0.0,0.0,118.12405422291837
93,0.0,0.0,0.0,0.0,0.0
94,2768773.964517001,0.0003796116663666992,0.0,0.0,118.12405422291837
95,2768773.964517001,0.0003796116663666992,0.0,0.0,118.12405422291837
96,2768773.964517001,0.0003796116663666992,0.0,0.0,118.12405422291837
97,2768773.964517001,0.0003796116663666992,0.0,0.0,118.12405422291837
98,30134836.58412051,0.0031394498445737632,0.0,0.0,1512.1968542826485
99,29688540.648094565,0.0030796511191216033,0.0,0.0,1492.7975262972066
100,496044494.1665835,0.045568451140818034,0.0,0.0,4968.487572517979
101,13627411.089166906,0.0008886888514411846,0.0,0.0,806.9530208808198
102,30134836.58412051,0.0031394498445737632,0.0,0.0,1512.1968542826485
103,17358008.129839238,0.0023259354974032396,0.0,0.0,747.0984176446923
104,30134836.58412051,0.0031394498445737632,0.0,0.0,1512.1968542826485
105,488320293.1101431,0.044899503351973,0.0,0.0,4551.971105786365
106,0.0,0.0,0.0,0.0,0.0
107,451348665.5397848,0.041594074756894035,0.0,0.0,4293.8214826747535
108,448833190.7150863,0.04126878943047176,0.0,0.0,4183.884520629879
109,453984702.99490994,0.041605327045453534,0.0,0.0,4488.894662137927
110,448833190.7150863,0.04126878943047176,0.0,0.0,4183.884520629879
111,448833190.7150863,0.04126878943047176,0.0,0.0,4183.884520629879
112,0.0,0.0,0.0,0.0,0.0
113,226314.92737242885,3.209753810038638e-05,0.0,0.0,9.555228579882671
114,0.0,0.0,0.0,0.0,0.0
115,0.0,0.0,0.0,0.0,0.0
116,0.0,0.0,0.0,0.0,0.0
117,0.0,0.0,0.0,0.0,0.0
118,0.0,0.0,0.0,0.0,0.0
119,0.0,0.0,0.0,0.0,0.0
120,0.0,0.0,0.0,0.0,0.0
121,226314.92737242885,3.209753810038638e-05,0.0,0.0,9.555228579882671
122,0.0,0.0,0.0,0.0,0.0
123,0.0,0.0,0.0,0.0,0.0
124,0.0,0.0,0.0,0.0,0.0
125,0.0,0.0,0.0,0.0,0.0
126,262064958.05858254,0.03111836179892459,0.0,0.0,11996.148777025213
127,260195975.2952131,0.03083167048556465,0.0,0.0,11921.74279741184
128,262064958.05858254,0.03111836179892459,0.0,0.0,11996.148777025213
129,2805177.932292716,0.00038951617948851944,0.0,0.0,119.21726014230447
130,262064958.05858254,0.03111836179892459,0.0,0.0,11996.148777025213
131,262064958.05858254,0.03111836179892459,0.0,0.0,11996.148777025213
132,262064958.05858254,0.03111836179892459,0.0,0.0,11996.148777025213
133,3030116.146827171,0.0004059121301902256,0.0,0.0,131.7418453833016
134,2794853.6883113,0.0003867072381495749,0.0,0.0,118.90722457960959
135,260195975.2952131,0.03083167048556465,0.0,0.0,11921.74279741184
136,2794853.6883113,0.0003867072381495749,0.0,0.0,118.90722457960959
137,2794853.6883113,0.0003867072381495749,0.0,0.0,118.90722457960959
138,2794853.6883113,0.0003867072381495749,0.0,0.0,118.90722457960959
139,2794853.6883113,0.0003867072381495749,0.0,0.0,118.90722457960959
140,0.0,0.0,0.0,0.0,0.0
141,0.0,0.0,0.0,0.0,0.0
142,0.0,0.0,0.0,0.0,0.0
143,9167520.640451025,0.0012418227186581214,0.0,0.0,392.52555590683926
144,0.0,0.0,0.0,0.0,0.0
145,0.0,0.0,0.0,0.0,0.0
146,0.0,0.0,0.0,0.0,0.0
147,9167520.640451025,0.0012418227186581214,0.0,0.0,392.52555590683926
148,9211101.027184788,0.0012536797369622227,0.0,0.0,393.83426865595516
149,0.0,0.0,0.0,0.0,0.0
150,9211101.027184788,0.0012536797369622227,0.0,0.0,393.83426865595516
151,9211101.027184788,0.0012536797369622227,0.0,0.0,393.83426865595516
152,9211101.027184788,0.0012536797369622227,0.0,0.0,393.83426865595516
153,9211101.027184788,0.0012536797369622227,0.0,0.0,393.83426865595516
154,2796948.098623985,0.00038727706928864936,0.0,0.0,118.97011942023677
155,9282438.618476829,0.0012730887231854884,0.0,0.0,395.9765262679738
156,2796948.098623985,0.00038727706928864936,0.0,0.0,118.97011942023677
157,0.0,0.0,0.0,0.0,0.0
158,2796948.098623985,0.00038727706928864936,0.0,0.0,118.97011942023677
159,2796948.098623985,0.00038727706928864936,0.0,0.0,118.97011942023677
160,2796948.098623985,0.00038727706928864936,0.0,0.0,118.97011942023677
161,0.0,0.0,0.0,0.0,0.0
162,898376.9672676411,0.0001270943864852494,0.0,0.0,37.96023406288797
163,9282438.618476829,0.0012730887231854884,0.0,0.0,395.9765262679738
164,898376.9672676411,0.0001270943864852494,0.0,0.0,37.96023406288797
165,898376.9672676411,0.0001270943864852494,0.0,0.0,37.96023406288797
