,A.0_ID flood wave shape,A.1_Bmax,A.1_Brate,A.1_pfail,A.2_Bmax,A.2_Brate,A.2_pfail,A.3_Bmax,A.3_Brate,A.3_pfail,A.4_Bmax,A.4_Brate,A.4_pfail,A.5_Bmax,A.5_Brate,A.5_pfail,discount rate 0,discount rate 1,discount rate 2,0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,scenario,policy,model
0,21,208.08769145724426,10.0,0.14786917004103792,127.13005144169536,1.5,0.3522296056973932,68.01865378688022,10.0,0.029533252834083503,139.01251454462886,1.5,0.2809401887788308,348.26138190278806,10.0,0.07660828387814413,1.5,1.5,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,Policy0,dikesnet
1,77,292.4409270028244,1.0,0.786446042164892,172.44043234178352,1.5,0.5733050056645517,53.10506870493499,1.5,0.14717265517208955,231.88505266288573,10.0,0.8724628674535497,212.65655721684584,1.5,0.44303986936307893,2.5,1.5,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,Policy0,dikesnet
2,51,110.55242692504288,1.0,0.08243214105138061,179.88439054916017,10.0,0.7275506305206353,266.13578614011504,10.0,0.2295802785998165,34.27139142128744,1.0,0.34715684997707646,275.3435911172331,1.0,0.16971592224919893,4.5,3.5,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,Policy0,dikesnet
3,50,170.43517996717927,1.5,0.9172416493758646,138.91434460761076,10.0,0.8295045624110516,58.73244572102723,10.0,0.9927437153906218,170.03428821471272,1.0,0.3833856832206935,129.06387526742463,1.0,0.7085142199333664,2.5,1.5,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,Policy0,dikesnet
4,27,265.90687917575076,1.0,0.2714495390195383,329.29983530480496,10.0,0.9551688757461343,235.05969402739902,10.0,0.017150692994516957,188.18180878389109,1.5,0.25999187846761634,188.02693454767174,10.0,0.7105309950985317,1.5,1.5,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,Policy0,dikesnet
5,14,58.98418229705469,10.0,0.46115368442392113,199.37447819097332,10.0,0.06954079955337832,236.02306377791646,1.5,0.49888227305259913,297.1017768995949,10.0,0.052840045682257496,73.0223488357447,10.0,0.7129085886459342,1.5,3.5,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,Policy0,dikesnet
6,40,94.39308333495417,1.5,0.5695669072634961,332.10960918032725,1.5,0.9482288786057836,74.85146566847536,10.0,0.45730567527672494,167.52005678784406,1.5,0.031084008780523437,152.4462335401072,1.0,0.2753534876593932,4.5,1.5,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,Policy0,dikesnet
7,49,160.39713084708657,1.0,0.20303539078008465,335.52681596140326,10.0,0.6413343262480665,348.1938447564577,1.0,0.4936061996083814,184.8247417350278,1.5,0.7073249264440835,321.18161156233225,1.0,0.02710482331050022,4.5,3.5,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,7,Policy0,dikesnet
8,48,268.4747564988743,1.5,0.863424978978025,227.3986775702392,10.0,0.9850810734352646,307.12106634814035,1.5,0.4069467067464556,75.92317954787167,1.5,0.3153339050173828,40.37002199184066,1.0,0.2915263953857358,2.5,1.5,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,8,Policy0,dikesnet
9,68,31.90001736469701,10.0,0.5640051913259984,331.095325806406,1.0,0.8407623675927997,54.91740807529942,1.5,0.7620744141443359,225.07519328711268,1.5,0.9518838495182608,294.20974424540015,1.5,0.24507852399913643,4.5,2.5,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,9,Policy0,dikesnet
