,A.5_Expected Number of Deaths,A.5_Expected Annual Damage,Expected Evacuation Costs,Expected Annual Damage,Total Investment Costs,Expected Number of Deaths
0,0.0,0.0,0.0,4590128993.389938,30351526.042379983,3.6282683170667114
1,0.0,0.0,0.0,2399264027.105353,30351526.042379983,3.496815219093301
2,0.0,0.0,0.0,2390739997.378907,30351526.042379983,2.329788741445418
3,0.0,0.0,0.0,85776473.65270692,30351526.042379983,0.04767126014124132
4,0.0,0.0,0.0,5603358835.909895,30351526.042379983,4.965412334874172
5,0.0,0.0,0.0,1530118913.803825,30351526.042379983,1.1540267262107127
6,0.0,0.0,0.0,471568039.83492804,30351526.042379983,0.5546006810994296
7,0.038237295254044665,31393039.236710303,0.0,2071169084.7131524,30351526.042379983,1.8805189216745337
8,0.0,0.0,0.0,364744677.3104456,30351526.042379983,0.5093041351951691
9,0.03942440568122832,39121185.17594243,0.0,238882975.65241435,30351526.042379983,0.2734346362595005
10,0.0,0.0,0.0,241003426.27924323,30351526.042379983,0.277646226071212
11,0.0,0.0,0.0,2064013991.992062,30351526.042379983,1.8699216961126766
12,0.0,0.0,0.0,2786566980.5085135,30351526.042379983,2.2692095102001355
13,0.0,0.0,0.0,2081236207.315826,30351526.042379983,3.9247917858537997
14,0.0,0.0,0.0,313893174.98772776,30351526.042379983,0.40559233221906044
15,0.0,0.0,0.0,514744363.3418199,30351526.042379983,0.35725174823051664
16,0.0,0.0,0.0,2635217105.9745398,30351526.042379983,1.8974282313292086
17,0.0,0.0,0.0,2743070608.6000247,30351526.042379983,1.8683855364505844
18,0.0,0.0,0.0,2535639464.7092595,30351526.042379983,1.8611894834607448
19,0.0,0.0,0.0,2427187078.1355486,30351526.042379983,1.461047868387838
20,0.0,0.0,0.0,617212812.5318667,30351526.042379983,1.0182410735037186
21,0.0,0.0,0.0,5438457255.288351,30351526.042379983,5.139059155474895
22,0.0,0.0,0.0,605712740.0182751,30351526.042379983,1.499721229665485
23,0.9630643302137405,1153685270.881684,0.0,1524591783.0624022,30351526.042379983,1.4995007571291579
24,0.0,0.0,0.0,2927541555.528499,30351526.042379983,1.884410207774267
25,0.0,0.0,0.0,2308355074.5849204,30351526.042379983,4.100051022957138
26,0.0,0.0,0.0,1299588622.7327137,30351526.042379983,2.634820257935613
27,0.0,0.0,0.0,1545646243.7505586,30351526.042379983,2.3289171567709217
28,0.0,0.0,0.0,80004625.53186885,30351526.042379983,0.1063592063689581
29,0.0,0.0,0.0,2586452360.3286114,30351526.042379983,1.3877605877322408
30,0.0,0.0,0.0,317872463.372997,30351526.042379983,0.3124571058712365
31,0.0,0.0,0.0,432457457.285206,30351526.042379983,0.5308054035224503
32,0.0,0.0,0.0,895875616.5020444,30351526.042379983,1.0660792603128886
33,0.0,0.0,0.0,322228778.20491,30351526.042379983,0.22896571869195734
34,0.0,0.0,0.0,2709334832.222333,30351526.042379983,1.9704015288026913
35,0.0,0.0,0.0,4077122707.586123,30351526.042379983,5.056534594663601
36,0.0,0.0,0.0,1035444600.3281775,30351526.042379983,0.8436568070928989
37,0.0,0.0,0.0,2639378664.149651,30351526.042379983,1.9019006153740303
38,0.0,0.0,0.0,867178359.9829868,30351526.042379983,1.5722025136667857
39,0.4655551902999432,389488432.9604455,0.0,1008667735.4322481,30351526.042379983,1.1697908311019778
40,0.0,0.0,0.0,1522651061.8260238,30351526.042379983,2.6433485211762253
41,0.017263496582185404,17757367.734629795,0.0,224697987.8810947,30351526.042379983,0.17352002814252376
42,0.0,0.0,0.0,2726806024.3347106,30351526.042379983,3.341454206474772
43,0.0,0.0,0.0,148112680.71693152,30351526.042379983,0.18666376249627287
44,0.0,0.0,0.0,1939391129.645317,30351526.042379983,1.8897885983738703
45,0.0,0.0,0.0,2633889810.5670457,30351526.042379983,1.8965219251405596
46,0.0,0.0,0.0,2296199964.264922,30351526.042379983,2.837449462593405
47,0.0,0.0,0.0,223990685.97004133,30351526.042379983,0.22300293440570237
48,0.0,0.0,0.0,2222452817.771865,30351526.042379983,3.835501585269581
49,0.0,0.0,0.0,2733301187.353502,30351526.042379983,1.9025566236178815
50,0.0,0.0,0.0,3070806633.0101347,30351526.042379983,1.896632832402222
51,0.0,0.0,0.0,288611808.67685735,30351526.042379983,0.22305220094013714
52,0.0,0.0,0.0,2536842783.4707613,30351526.042379983,1.8679854469262356
53,0.0,0.0,0.0,3394336721.9071937,30351526.042379983,1.9056275789116888
54,0.0,0.0,0.0,814120865.8747139,30351526.042379983,0.8434623905306706
55,0.0,0.0,0.0,985653626.0511807,30351526.042379983,0.8630358156968105
56,0.0,0.0,0.0,108720434.46944886,30351526.042379983,0.25759528951839866
57,0.0,0.0,0.0,307772774.9798872,30351526.042379983,0.5019374614899058
58,0.0,0.0,0.0,2357355773.733307,30351526.042379983,1.9964962566376077
59,0.0,0.0,0.0,3042947168.774947,30351526.042379983,1.8750306248371325
60,0.0,0.0,0.0,3702337983.323216,30351526.042379983,3.173405398351853
61,0.0,0.0,0.0,1261585763.1892278,30351526.042379983,0.8679194082830384
62,0.0,0.0,0.0,304975460.4344727,30351526.042379983,0.2549630318298993
63,0.0,0.0,0.0,202306470.92069426,30351526.042379983,0.22619279486561428
64,0.0,0.0,0.0,1271096678.8341448,30351526.042379983,1.7407508752524992
65,0.0,0.0,0.0,662604084.6119859,30351526.042379983,0.7652138613225132
66,0.0,0.0,0.0,100905393.38365453,30351526.042379983,0.1664396799223257
67,0.0,0.0,0.0,2418413539.746464,30351526.042379983,1.8830816748320516
68,0.0,0.0,0.0,4603163945.995856,30351526.042379983,4.31355577363575
69,0.0,0.0,0.0,291930727.6406668,30351526.042379983,0.24940890559676784
70,0.0,0.0,0.0,528144237.0740813,30351526.042379983,0.35822675130978787
71,0.0,0.0,0.0,2191329540.6049366,30351526.042379983,2.33772750461044
72,0.0,0.0,0.0,146751205.35406345,30351526.042379983,0.17646256089454643
73,0.0,0.0,0.0,234365541.96592823,30351526.042379983,0.3219553036891017
74,0.0,0.0,0.0,166284644.58080038,30351526.042379983,0.11554018547726569
75,0.0,0.0,0.0,2682481579.094721,30351526.042379983,1.8581793379510998
76,0.0,0.0,0.0,1271200500.9351797,30351526.042379983,0.846311312899327
77,0.0,0.0,0.0,2851006761.6704526,30351526.042379983,1.8809012213507548
78,0.0,0.0,0.0,639826168.566927,30351526.042379983,0.4509013230549939
79,0.0,0.0,0.0,1949221036.481481,30351526.042379983,2.596989380157016
80,0.0,0.0,0.0,3320576641.3183165,30351526.042379983,2.260397493976279
81,0.0,0.0,0.0,593059745.4553578,30351526.042379983,0.7418364545516485
82,0.0,0.0,0.0,2900444011.3996773,30351526.042379983,1.8739374310785264
83,0.0,0.0,0.0,414016312.1409707,30351526.042379983,0.4581359321588199
84,0.0,0.0,0.0,2843040389.63754,30351526.042379983,1.9355140129168726
85,0.0,0.0,0.0,3049299779.7579994,30351526.042379983,2.1874783982174097
86,0.0,0.0,0.0,246548148.48780867,30351526.042379983,0.2387271981919019
87,0.0,0.0,0.0,152347816.26917946,30351526.042379983,0.14731120621325053
88,0.0,0.0,0.0,3123830825.5037804,30351526.042379983,3.7838405047899784
89,0.0,0.0,0.0,1733114490.8105931,30351526.042379983,3.547004693103022
90,0.0,0.0,0.0,2738362557.056527,30351526.042379983,1.9069794478812716
91,0.0,0.0,0.0,3572872006.528033,30351526.042379983,1.9002566852529896
92,0.0,0.0,0.0,1032546163.9677684,30351526.042379983,1.1800986961866742
93,0.0,0.0,0.0,719313495.5617849,30351526.042379983,0.7251471723383717
94,0.0,0.0,0.0,55040063.58826487,30351526.042379983,0.060430962087707
95,0.0,0.0,0.0,1631192553.9987378,30351526.042379983,3.425805128795625
96,0.0,0.0,0.0,93259644.99167919,30351526.042379983,0.08955181960308936
97,0.0,0.0,0.0,165212974.53670382,30351526.042379983,0.17371108988588307
98,0.0,0.0,0.0,2588040810.336438,30351526.042379983,1.8985605426031544
99,0.0,0.0,0.0,2258917428.079325,30351526.042379983,1.9458378299020438
100,0.0,0.0,0.0,520403960.24171156,30351526.042379983,0.8727842019179313
101,0.1278480828689154,131355439.57902868,0.0,218821905.59847742,30351526.042379983,0.22414082242887556
102,0.0,0.0,0.0,1183625415.5885062,30351526.042379983,0.9047497138762469
103,0.0,0.0,0.0,2092868250.0594738,30351526.042379983,1.9033553148149225
104,0.0,0.0,0.0,2770418002.0101395,30351526.042379983,1.891840038480752
105,0.0,0.0,0.0,2265325039.2627525,30351526.042379983,1.4772219825756787
106,0.0,0.0,0.0,2881922978.769827,30351526.042379983,1.8922619368174316
107,0.0,0.0,0.0,2418750958.5163927,30351526.042379983,1.8839331616596855
108,0.0,0.0,0.0,961731057.6644145,30351526.042379983,0.8555144031658828
109,0.0,0.0,0.0,1230534718.554171,30351526.042379983,1.5361578490259953
110,0.0,0.0,0.0,334126037.5036007,30351526.042379983,0.4974681106864897
